                            category                             | count 
-----------------------------------------------------------------+-------
                                                                 |   985
 Third generation Cephalosporins                                 |   903
 Drugs for Osteoarthritis                                        |   740
 Proton Pump Inhibitor                                           |   546
 Second generation Cephalosporins                                |   480
 Non-sedating antihistamines                                     |   457
 Adjunct anti-epileptic drugs                                    |   434
 First generation Cephalosporins                                 |   392
 Specific mineral & vitamin combined preparations                |   387
 Combined antihypertensive preparations                          |   363
 Specific combined vitamin preparations                          |   358
 Non opioid analgesics                                           |   336
 Broad spectrum penicillins                                      |   295
 Other Anti-anginal & Anti-ischaemic drugs                       |   287
 Macrolides                                                      |   285
 Drugs for subcutaneous and mycoses                              |   268
 4-Quinolone preparations                                        |   266
 Sedating Anti-histamine                                         |   264
 Anti-diarrhoeal Antimicrobial drugs                             |   260
 Herbal and Nutraceuticals                                       |   259
 Penicillinase-resistant penicillins                             |   249
 Angiotensin-ll receptor blocker                                 |   231
 Anti-emetic drugs                                               |   218
 Cytotoxic Chemotherapy                                          |   218
 Combination Oral hypoglycemic preparations                      |   217
 Drugs used for Rheumatoid Arthritis                             |   215
 Motility Stimulants                                             |   205
 Short-acting selective & β2-adrenoceptor stimulants             |   199
 Amoebicides                                                     |   198
 Leukotriene receptor antagonists                                |   198
 Glucocorticoids                                                 |   195
 Non-steroidal Anti-inflammatory Drugs (NSAIDs)                  |   193
 Sulfonylureas                                                   |   192
 Biguanides                                                      |   189
 Anthelmintic                                                    |   183
 Antacids                                                        |   180
 Cough expectorants & mucolytics                                 |   178
 Calcium-channel blockers                                        |   176
 Atypical neuroleptic drugs                                      |   164
 Minerals in bone formation                                      |   160
 Drugs for Erectile Dysfunction                                  |   156
 Bronchodilator                                                  |   149
 Anticholinergics                                                |   145
 H2 receptor antagonist                                          |   135
 Anti-platelet drugs                                             |   132
 Multi-vitamin & Multi-mineral combined preparations             |   131
 Ophthalmic antibacterial drugs                                  |   131
 Specific mineral preparations                                   |   129
 Ophthalmic Non-Steroid drugs                                    |   124
 Targeted Cancer Therapy                                         |   124
 Vitamin in bone formation                                       |   123
 Iron, Vitamin & Mineral Combined preparation                    |   121
 BPH/ Urinary retention/ Urinary incontinence                    |   119
 Other Antifungal preparations                                   |   116
 Antiparkinson drugs                                             |   115
 Iron & Vitamin Combined preparations                            |   111
 Dipeptidyl Peptidase-4 (DPP-4) inhibitor                        |   109
 Osmotic purgatives                                              |   106
 Centrally acting Skeletal Muscle Relaxants                      |   106
 Opioid analgesics                                               |   105
 Ophthalmic steroid - antibiotic combined preparations           |   102
 Other beta-lactam Antibiotics                                   |   101
 SSRIs & related anti-depressant drugs                           |   100
 Other Topical corticosteroids                                   |    99
 Primary anti-epileptic drugs                                    |    97
 Drugs for miotics and glaucoma                                  |    94
 Tetracycline group of drugs                                     |    89
 Sulphonamides & Trimethoprim                                    |    88
 Immunosuppressant                                               |    88
 Cromoglycate & related drugs                                    |    84
 Combined anxiolytics & anti-depressant drugs                    |    83
 Angiotensin-converting enzyme (ACE) inhibitors                  |    81
 Beta-adrenoceptor blocking drugs                                |    80
 Anticholinergics (antimuscarinics)/ Anti-spasmodics             |    80
 Drugs for Dry eyes                                              |    79
 Alpha adrenoceptor blocking drugs                               |    79
 Long-acting selective β-adrenoceptor stimulants                 |    76
 Topical Antibiotic preparations                                 |    75
 Anti adrenergic agent (Beta blockers)                           |    75
 Parenteral nutritional preparations                             |    70
 Female Sex hormones                                             |    70
 Anti-diarrhoeal Antiprotozoal                                   |    70
 Vaccines, Anti-sera & Immunoglobulin                            |    70
 Cough suppressant                                               |    69
 Parenteral Iron Preparations                                    |    68
 Stimulation of Cartilage formation                              |    67
 Sodium-glucose Cotransporter-2 (SGLT2) Inhibitors               |    66
 Iodine compounds (Anti-septic Preparations)                     |    65
 Topical Antifungal preparations                                 |    64
 Benzodiazepine sedatives                                        |    64
 Ophthalmic Steroid preparations                                 |    62
 Fourth generation Cephalosporins                                |    59
 Anti-oxidant Multivitamin preparations                          |    58
 Chlorhexidine & Chloroxylenol preparations                      |    57
 Benzodiazepine hypnotics                                        |    56
 Parasiticidal preparations                                      |    56
 Corticosteroid                                                  |    55
 Combined cough expectorants                                     |    54
 Anti-malarial drugs                                             |    53
 Vitamin-C Preparations                                          |    52
 Potassium-sparing diuretics                                     |    51
 Other drugs for migraine                                        |    51
 Parenteral anti-coagulants                                      |    50
 Nasal Anti-histamine preparations                               |    49
 Bisphosphonate preparations                                     |    48
 Aural steroid & antibiotic combined preparations                |    47
 Hepatic viral infections (Hepatitis B)                          |    47
 Intravenous fluid preparations                                  |    47
 Oral electrolytes preparations                                  |    46
 Anti-fibrinolytic drugs                                         |    45
 Clobetasol / Clobetasone & Combined Preparations                |    45
 Aural Anti-bacterial preparations                               |    44
 Hepatic viral infections (Hepatitis C)                          |    43
 Vitamin-B preparations                                          |    43
 Triamcinolone & Combined preparations                           |    42
 Drugs for Haemolytic Hypoplastic & Renal Anemia                 |    41
 Herpes simplex & Varicella-zoster virus infections              |    40
 Atypical anti-depressant drugs                                  |    40
 Hydrocortisone & Combined preparations                          |    39
 Nitrates: Coronary vasodilators                                 |    38
 Drugs used in Gout                                              |    38
 Supplements & adjuvant therapy                                  |    38
 Vitamin-E Preparations                                          |    38
 Oral Anti-coagulants                                            |    37
 Miscellaneous prophylactic migraine preparations                |    37
 Long Acting Insulin                                             |    37
 Anti-viral drugs                                                |    36
 Bleaching and Disinfectants                                     |    36
 Hormonal Chemotherapy                                           |    35
 Rapid Acting Insulin                                            |    35
 Antidote preparations                                           |    34
 Oral Contraceptive preparations                                 |    33
 Drugs acting on the Uterus                                      |    33
 Benzylpenicillin & Phenoxymethyl penicillin                     |    32
 Combined cough suppressants                                     |    32
 Medium Acting Insulin                                           |    32
 Miscellaneous topical agents                                    |    32
 Mydriatic and Cycloplegic agents                                |    32
 Betamethasone & Combined preparations                           |    31
 Serotonin-norepinephrine reuptake inhibitor (SNRI)              |    31
 Topical Analgesics                                              |    30
 Drugs for Megaloblastic Anemia                                  |    30
 Anti-gallstones drugs: Bile Acids                               |    30
 Loop diuretics                                                  |    29
 Nasal Steroid Preparations                                      |    29
 Respiratory corticosteroids                                     |    29
 Aminoglycosides                                                 |    28
 Bulk-forming laxatives                                          |    28
 Fibrinolytics (Thrombolytics)                                   |    28
 Anti vertigo drugs                                              |    28
 Ophthalmic and Topical antibacterial products                   |    27
 Topical retinoid and related preparations                       |    27
 Local & Surface anesthesia                                      |    26
 Thyroid drugs & hormone                                         |    26
 Combined bronchodilators                                        |    26
 Drugs for Dementia                                              |    26
 Aural Anti-fungal preparations                                  |    26
 Systemic Urinary Anti- infective                                |    25
 Oral nutritional preparations                                   |    25
 Prostaglandin analogues                                         |    25
 Oral Iron preparations                                          |    25
 Anti-oxidant Multivitamin Multimineral preparations             |    24
 Meglitinide Analogues                                           |    23
 Tyrosine Kinase Inhibitor                                       |    23
 General (Intravenous) anesthetics                               |    23
 Thiazide diuretics & related drugs                              |    22
 Haematopoietic Agents                                           |    22
 Prevention of repeated kidney stone formation                   |    21
 Oral preparations                                               |    21
 Nasal Decongestants & Other Nasal Preparations                  |    20
 Drugs for HIV / Anti-retroviral drugs                           |    20
 Ophthalmic Anti-allergic preparations                           |    20
 Antacid with laxative action                                    |    20
 Fibrates                                                        |    19
 Cholagogues, Cholelitholytics & Hepatic Protectors              |    19
 Other antibacterial preparation                                 |    19
 Fluocinolone & Combined Preparations                            |    19
 Topical anti-inflammatory preparations                          |    18
 Cerebral vasodilator & Neurosensory oxygenator drugs            |    18
 Drugs for Infertility                                           |    18
 Farnesoid X Receptor Agonists                                   |    18
 Central Depolarizing muscle relaxants                           |    18
 Phlebotonic & Vascular protecting preparation                   |    17
 Anti-hypertensive                                               |    17
 Anti-dyspeptic/Carminatives                                     |    17
 Hydroquinone Preparations                                       |    17
 Thiazolidinedione Group                                         |    17
 Mast Cell Stabiliser                                            |    17
 Ophthalmic Anti-viral Products                                  |    17
 Plasma expanders                                                |    16
 Tricyclic & related anti-depressant drugs                       |    16
 Other scalp preparations                                        |    16
 Supportive Care Therapy                                         |    16
 Drugs affecting the immune response                             |    15
 Haemodialysis solutions                                         |    15
 CNS stimulant drugs                                             |    15
 Miscellaneous sedatives & hypnotics                             |    15
 Other ophthalmic preparations                                   |    15
 Tricyclic Anti-depressant                                       |    15
 Haemostatic drugs                                               |    14
 Other preparations                                              |    14
 Fluticasone & combined preparations topical                     |    14
 Anticholinergic bronchodilators                                 |    14
 Anti-diarrhoeal                                                 |    13
 Contrast medium for diagnostic procedures                       |    13
 Alpha-Glucosidase inhibitor                                     |    13
 Drugs used in meniere's diseases                                |    13
 Drugs for menopausal symptoms: Hormone replacement therapy      |    13
 Phenothiazine related drugs                                     |    13
 5-HT Agonists                                                   |    13
 Digestive Enzyme                                                |    13
 Regional anesthesia                                             |    13
 Anti-anginal & lipid lowering drugs                             |    13
 Other Anti-protozoals                                           |    13
 Emollients & combined preparations                              |    12
 GLP-1 receptor agonists                                         |    12
 Non depolarizing muscle relaxants                               |    12
 Appetite suppressant drugs/Anti-obesity drugs                   |    12
 Drugs for muscular energy metabolism                            |    11
 Topical antibiotic & retinoid preparations                      |    11
 Other laxative preparations                                     |    11
 Disease-modifying antirheumatic drugs (DMARDs)                  |    11
 Respiratory viral infections (Influenza)                        |    11
